Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D6,SOD-523,D_SOD-523,238.91875,-129.38125,-90.0,bottom
D7,SOD-523,D_SOD-523,257.96875,-129.38125,-90.0,bottom
D8,SOD-523,D_SOD-523,277.01875,-129.38125,-90.0,bottom
D9,SOD-523,D_SOD-523,296.06875,-129.38125,-90.0,bottom
D10,SOD-523,D_SOD-523,405.60625,-129.38125,-90.0,bottom
D11,SOD-523,D_SOD-523,424.65625,-129.38125,-90.0,bottom
D12,SOD-523,D_SOD-523,443.70625,-129.38125,-90.0,bottom
D13,SOD-523,D_SOD-523,153.19375,-148.43125,-90.0,bottom
D14,SOD-523,D_SOD-523,172.24375,-148.43125,-90.0,bottom
D15,SOD-523,D_SOD-523,191.29375,-148.43125,-90.0,bottom
D16,SOD-523,D_SOD-523,210.34375,-148.43125,-90.0,bottom
D17,SOD-523,D_SOD-523,238.91875,-148.43125,-90.0,bottom
D18,SOD-523,D_SOD-523,257.96875,-148.43125,-90.0,bottom
D19,SOD-523,D_SOD-523,277.01875,-148.43125,-90.0,bottom
D20,SOD-523,D_SOD-523,296.06875,-148.43125,-90.0,bottom
D21,SOD-523,D_SOD-523,324.64375,-148.43125,-90.0,bottom
D22,SOD-523,D_SOD-523,343.69375,-148.43125,-90.0,bottom
D23,SOD-523,D_SOD-523,362.74375,-148.43125,-90.0,bottom
D24,SOD-523,D_SOD-523,381.79375,-148.43125,-90.0,bottom
D25,SOD-523,D_SOD-523,405.60625,-148.43125,-90.0,bottom
D26,SOD-523,D_SOD-523,424.65625,-148.43125,-90.0,bottom
D27,SOD-523,D_SOD-523,443.70625,-148.43125,-90.0,bottom
D28,SOD-523,D_SOD-523,72.23125,-177.00625,-90.0,bottom
D29,SOD-523,D_SOD-523,91.28125,-177.00625,-90.0,bottom
D30,SOD-523,D_SOD-523,115.09375,-177.00625,-90.0,bottom
D31,SOD-523,D_SOD-523,134.14375,-177.00625,-90.0,bottom
D32,SOD-523,D_SOD-523,153.19375,-177.00625,-90.0,bottom
D33,SOD-523,D_SOD-523,172.24375,-177.00625,-90.0,bottom
D34,SOD-523,D_SOD-523,191.29375,-177.00625,-90.0,bottom
D35,SOD-523,D_SOD-523,210.34375,-177.00625,-90.0,bottom
D36,SOD-523,D_SOD-523,229.39375,-177.00625,-90.0,bottom
D37,SOD-523,D_SOD-523,248.44375,-177.00625,-90.0,bottom
D38,SOD-523,D_SOD-523,267.49375,-177.00625,-90.0,bottom
D39,SOD-523,D_SOD-523,286.54375,-177.00625,-90.0,bottom
D40,SOD-523,D_SOD-523,305.59375,-177.00625,-90.0,bottom
D41,SOD-523,D_SOD-523,324.64375,-177.00625,-90.0,bottom
D42,SOD-523,D_SOD-523,343.69375,-177.00625,-90.0,bottom
D43,SOD-523,D_SOD-523,372.26875,-177.00625,-90.0,bottom
D44,SOD-523,D_SOD-523,405.60625,-177.00625,-90.0,bottom
D45,SOD-523,D_SOD-523,424.65625,-177.00625,-90.0,bottom
D46,SOD-523,D_SOD-523,443.70625,-177.00625,-90.0,bottom
D47,SOD-523,D_SOD-523,467.51875,-177.00625,-90.0,bottom
D48,SOD-523,D_SOD-523,486.56875,-177.00625,-90.0,bottom
D49,SOD-523,D_SOD-523,505.61875,-177.00625,-90.0,bottom
D50,SOD-523,D_SOD-523,524.66875,-177.00625,-90.0,bottom
D51,SOD-523,D_SOD-523,72.23125,-196.05625,-90.0,bottom
D52,SOD-523,D_SOD-523,91.28125,-196.05625,-90.0,bottom
D53,SOD-523,D_SOD-523,119.85625,-196.05625,-90.0,bottom
D54,SOD-523,D_SOD-523,143.66875,-196.05625,-90.0,bottom
D55,SOD-523,D_SOD-523,162.71875,-196.05625,-90.0,bottom
D56,SOD-523,D_SOD-523,181.76875,-196.05625,-90.0,bottom
D57,SOD-523,D_SOD-523,200.81875,-196.05625,-90.0,bottom
D58,SOD-523,D_SOD-523,219.86875,-196.05625,-90.0,bottom
D59,SOD-523,D_SOD-523,238.91875,-196.05625,-90.0,bottom
D60,SOD-523,D_SOD-523,257.96875,-196.05625,-90.0,bottom
D61,SOD-523,D_SOD-523,277.01875,-196.05625,-90.0,bottom
D62,SOD-523,D_SOD-523,296.06875,-196.05625,-90.0,bottom
D63,SOD-523,D_SOD-523,315.11875,-196.05625,-90.0,bottom
D64,SOD-523,D_SOD-523,334.16875,-196.05625,-90.0,bottom
D65,SOD-523,D_SOD-523,353.21875,-196.05625,-90.0,bottom
D66,SOD-523,D_SOD-523,377.03125,-196.05625,-90.0,bottom
D67,SOD-523,D_SOD-523,405.60625,-196.05625,-90.0,bottom
D68,SOD-523,D_SOD-523,424.65625,-196.05625,-90.0,bottom
D69,SOD-523,D_SOD-523,443.70625,-196.05625,-90.0,bottom
D70,SOD-523,D_SOD-523,467.51875,-196.05625,-90.0,bottom
D71,SOD-523,D_SOD-523,486.56875,-196.05625,-90.0,bottom
D72,SOD-523,D_SOD-523,505.61875,-196.05625,-90.0,bottom
D73,SOD-523,D_SOD-523,524.66875,-196.05625,-90.0,bottom
D74,SOD-523,D_SOD-523,72.23125,-215.10625,-90.0,bottom
D75,SOD-523,D_SOD-523,91.28125,-215.10625,-90.0,bottom
D76,SOD-523,D_SOD-523,122.2375,-215.10625,-90.0,bottom
D77,SOD-523,D_SOD-523,148.43125,-215.10625,-90.0,bottom
D78,SOD-523,D_SOD-523,167.48125,-215.10625,-90.0,bottom
D79,SOD-523,D_SOD-523,186.53125,-215.10625,-90.0,bottom
D80,SOD-523,D_SOD-523,205.58125,-215.10625,-90.0,bottom
D81,SOD-523,D_SOD-523,224.63125,-215.10625,-90.0,bottom
D82,SOD-523,D_SOD-523,243.68125,-215.10625,-90.0,bottom
D83,SOD-523,D_SOD-523,262.73125,-215.10625,-90.0,bottom
D84,SOD-523,D_SOD-523,281.78125,-215.10625,-90.0,bottom
D85,SOD-523,D_SOD-523,300.83125,-215.10625,-90.0,bottom
D86,SOD-523,D_SOD-523,319.88125,-215.10625,-90.0,bottom
D87,SOD-523,D_SOD-523,338.93125,-215.10625,-90.0,bottom
D88,SOD-523,D_SOD-523,369.8875,-215.10625,-90.0,bottom
D89,SOD-523,D_SOD-523,467.51875,-215.10625,-90.0,bottom
D90,SOD-523,D_SOD-523,486.56875,-215.10625,-90.0,bottom
D91,SOD-523,D_SOD-523,505.61875,-215.10625,-90.0,bottom
D92,SOD-523,D_SOD-523,524.66875,-215.10625,-90.0,bottom
D93,SOD-523,D_SOD-523,72.23125,-234.15625,-90.0,bottom
D94,SOD-523,D_SOD-523,91.28125,-234.15625,-90.0,bottom
D95,SOD-523,D_SOD-523,127.0,-234.15625,-90.0,bottom
D96,SOD-523,D_SOD-523,157.95625,-234.15625,-90.0,bottom
D97,SOD-523,D_SOD-523,177.00625,-234.15625,-90.0,bottom
D98,SOD-523,D_SOD-523,196.05625,-234.15625,-90.0,bottom
D99,SOD-523,D_SOD-523,215.10625,-234.15625,-90.0,bottom
D100,SOD-523,D_SOD-523,234.15625,-234.15625,-90.0,bottom
D101,SOD-523,D_SOD-523,253.20625,-234.15625,-90.0,bottom
D102,SOD-523,D_SOD-523,272.25625,-234.15625,-90.0,bottom
D103,SOD-523,D_SOD-523,291.30625,-234.15625,-90.0,bottom
D104,SOD-523,D_SOD-523,310.35625,-234.15625,-90.0,bottom
D105,SOD-523,D_SOD-523,329.40625,-234.15625,-90.0,bottom
D106,SOD-523,D_SOD-523,365.125,-234.15625,-90.0,bottom
D107,SOD-523,D_SOD-523,424.65625,-234.15625,-90.0,bottom
D108,SOD-523,D_SOD-523,467.51875,-234.15625,-90.0,bottom
D109,SOD-523,D_SOD-523,486.56875,-234.15625,-90.0,bottom
D110,SOD-523,D_SOD-523,505.61875,-234.15625,-90.0,bottom
D111,SOD-523,D_SOD-523,72.23125,-253.20625,-90.0,bottom
D112,SOD-523,D_SOD-523,91.28125,-253.20625,-90.0,bottom
D113,SOD-523,D_SOD-523,117.475,-253.20625,-90.0,bottom
D114,SOD-523,D_SOD-523,141.2875,-253.20625,-90.0,bottom
D115,SOD-523,D_SOD-523,165.1,-253.20625,-90.0,bottom
D116,SOD-523,D_SOD-523,236.5375,-253.20625,-90.0,bottom
D117,SOD-523,D_SOD-523,307.975,-253.20625,-90.0,bottom
D118,SOD-523,D_SOD-523,331.7875,-253.20625,-90.0,bottom
D119,SOD-523,D_SOD-523,355.6,-253.20625,-90.0,bottom
D120,SOD-523,D_SOD-523,379.4125,-253.20625,-90.0,bottom
D121,SOD-523,D_SOD-523,405.60625,-253.20625,-90.0,bottom
D122,SOD-523,D_SOD-523,424.65625,-253.20625,-90.0,bottom
D123,SOD-523,D_SOD-523,443.70625,-253.20625,-90.0,bottom
D124,SOD-523,D_SOD-523,467.51875,-253.20625,-90.0,bottom
D125,SOD-523,D_SOD-523,486.56875,-253.20625,-90.0,bottom
D126,SOD-523,D_SOD-523,505.61875,-253.20625,-90.0,bottom
D127,SOD-523,D_SOD-523,518.31875,-251.61875,90.0,bottom
DR1,SOD-523,D_SOD-523,524.66875,-129.38125,-90.0,bottom
DR2,SOD-523,D_SOD-523,526.25625,-124.61875,90.0,bottom
DR3,SOD-523,D_SOD-523,516.73125,-124.61875,90.0,bottom
DT1,SOD-523,D_SOD-523,307.18125,-129.38125,0.0,bottom
DT2,SOD-523,D_SOD-523,307.18125,-130.96875,0.0,bottom
DT3,SOD-523,D_SOD-523,307.18125,-132.55625,0.0,bottom
DT4,SOD-523,D_SOD-523,307.18125,-134.14375,0.0,bottom
F1,6v 500ma,Fuse_0603_1608Metric,491.33125,-128.5875,180.0,bottom
J4,USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,498.475,-124.61875,0.0,bottom
LP1,10uH,L_Wuerth_HCI-1040,467.614,-131.318,180.0,bottom
RC1,5k1,Passive_0402_1005Metric,500.888,-132.08,90.0,bottom
RC2,5k1,Passive_0402_1005Metric,496.316,-132.08,-90.0,bottom
RD1,27,Passive_0402_1005Metric,491.236,-145.796,-90.0,bottom
RD2,27,Passive_0402_1005Metric,490.22,-145.796,-90.0,bottom
RF1,1k,Passive_0402_1005Metric,504.698,-147.32,0.0,bottom
RP1,100K,Passive_0402_1005Metric,474.345,-128.905,-90.0,bottom
RP2,22.1K,Passive_0402_1005Metric,474.345,-130.937,-90.0,bottom
RR1,1k,Passive_0402_1005Metric,490.093,-159.766,90.0,bottom
RX2,1k,Passive_0402_1005Metric,494.157,-160.274,0.0,bottom
S1,USB BOOT,SW_EVPBB4A9B000,510.667,-146.685,180.0,bottom
TX1,Transducer,Buzzer_CUI_CPT-9019S-SMT,520.7,-150.876,-90.0,bottom
U0,RP2040,QFN-56-RP2040,492.91875,-153.9875,180.0,bottom
U1,MT2492,SOT-23-6,477.139,-131.445,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,500.761,-143.764,90.0,bottom
U3,USBLC6-2SC6,SOT-23-6,498.602,-134.112,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,492.91875,-163.5125,180.0,bottom
